cluster_p2,tipo_top,n
0,fighting,40
0,poison,2
0,dark,1
1,dragon,24
1,rock,4
1,dark,1
1,electric,1
1,fire,1
1,poison,1
1,water,1
2,ice,18
2,rock,1
3,grass,80
4,psychic,27
4,rock,3
4,steel,3
4,water,2
5,psychic,69
6,electric,42
6,dark,2
6,fighting,1
7,bug,24
7,poison,6
7,grass,2
7,fire,1
7,ground,1
8,dark,29
8,ghost,8
8,psychic,2
9,rock,54
9,ground,6
9,bug,1
9,fighting,1
9,fire,1
9,grass,1
9,water,1
10,water,96
10,poison,2
10,rock,2
10,ice,1
11,fire,45
12,water,8
12,steel,1
13,poison,32
14,bug,12
14,poison,2
15,psychic,10
15,ghost,2
16,fighting,9
16,dark,8
16,ice,8
16,psychic,5
16,electric,3
16,poison,2
16,rock,2
16,ghost,1
16,water,1
17,flying,36
17,dark,4
17,water,2
